"","logFC.genotypeD2","logFC.genotypeD6","logCPM","LR","PValue","FDR"
"oases2_k25_Locus_23445_Transcript_5_1",0.466026501269587,-4.59290296739279,1.8702079099212,16.3492098832017,0.000281717731173235,0.00739587885288896
"oases6_k31_Locus_9909_Transcript_14_2",3.66719549398794,5.98521441569952,1.7126008965814,16.3490921097666,0.000281734321094153,0.00739587885288896
"oases3_k37_Locus_37522_Transcript_1_1",-0.215573885218929,-3.4353392366655,5.02094790590722,16.3425756222169,0.000282653777284797,0.00741470813616978
"oases3_k37_Locus_29360_Transcript_4_1",-1.38811134614591,-4.54808775242573,3.73234049023383,16.3410306577766,0.000282872206657749,0.0074151339776695
"oases3_k31_Locus_9130_Transcript_4_1",-6.56285521930412,-5.45541182296856,1.45668965205379,16.3392428695775,0.000283125177501935,0.00741551130426316
"oases3_k43_Locus_5699_Transcript_10_1",2.67821539523873,-0.0356996238998302,6.48063625628945,16.3380717449997,0.000283291013477836,0.00741551130426316
"oases6_CL14031Contig1_1",3.53643634189226,3.85761566166542,4.78421667687373,16.3363977132333,0.000283528231819587,0.00741642713660466
"oases2_CL3313Contig1_1",3.99143336411585,-1.34694838637388,3.62662946713772,16.3321445896703,0.000284131813670944,0.00742691803475021
"oases6_k43_Locus_1145_Transcript_3_1",-3.72088034099589,2.53139013760613,1.02461273035048,16.3300717219026,0.000284426450169362,0.00742932422155342
"oases6_k37_Locus_12916_Transcript_4_1",0.319425250413008,4.66806255227499,1.32663267641021,16.3282600151397,0.000284684215562223,0.00743076458171773
"oases6_k43_Locus_2907_Transcript_2_1",0.763643406307337,2.88833603485414,5.27594760865903,16.3076700248618,0.000287630176484862,0.00750231967441632
"oases2_CL8563Contig1_1",-0.437742100163409,-4.17383144371032,3.27391513461402,16.2989508765472,0.000288886858878799,0.00752411285439782
"oases2_k43_Locus_15315_Transcript_3_1",6.08807330024421,4.55043853867337,3.15844157285566,16.2976626532277,0.000289072994212495,0.00752411285439782
"oases6_k25_Locus_5210_Transcript_11_1",-1.51843780101778,2.96351319017004,3.17684305416555,16.2976058499305,0.000289081204478677,0.00752411285439782
"oases6_k37_Locus_883_Transcript_924_4",2.68500297557641,5.60257010397306,2.17625444144943,16.2814707866056,0.000291422809033004,0.00757967991182083
"oases3_k43_Locus_1719_Transcript_27_2",-4.0879028149816,-3.25001092938716,2.05837181878342,16.2623607925522,0.000294220698733943,0.00764702741649177
"oases2_k25_Locus_1107_Transcript_1_1",1.57562298707736,-1.58115021313412,4.11696124407635,16.2424551043928,0.000297163652559917,0.00771804718861885
"oases2_k43_Locus_16740_Transcript_2_1",2.445316074708,-0.321664101970318,5.22186521734467,16.2351447031556,0.000298251832873707,0.00774082764825014
"oases3_k37_Locus_5953_Transcript_9_1",1.83403036216375,-2.37156921129935,2.63320792661147,16.2082714332533,0.000302286378533526,0.00783795600117939
"oases3_k43_Locus_20333_Transcript_7_1",-4.59564215296704,-2.12198443435915,2.99776533489496,16.2073769022663,0.00030242161103997,0.00783795600117939
"oases6_CL5103Contig1_2",-1.98128695172373,1.13364830614188,6.0198157104716,16.2038507027329,0.000302955280830131,0.00784073619854007
"oases2_k25_Locus_16890_Transcript_3_1",4.12289907287023,-0.0839514682763189,3.40000626614598,16.2038427498525,0.000302956485516082,0.00784073619854007
"oases6_k25_Locus_6147_Transcript_11_1",-1.89073352703876,1.81148551462434,3.13971739476616,16.1980304549585,0.000303838202311971,0.00785801015048442
"oases3_k25_Locus_6730_Transcript_1_1",-6.50446454024756,-0.74653543651732,1.04255026784165,16.1646657650209,0.000308949451288866,0.00797943577272473
