"","logFC.genotype2","logFC.genotype6","logCPM","LR","PValue","FDR"
"oases6_k25_Locus_14345_Transcript_5_1",-1.57506463816437,1.06924366633831,0.712673645441448,10.9581996437888,0.00417308452696714,0.0239648494922434
"oases6_k49_Locus_16249_Transcript_1_1",-1.96972745987502,-0.561799094810079,6.16519983740838,10.9569896298538,0.00417561003608023,0.0239755983800172
"oases6_k43_Locus_18925_Transcript_8_1",-5.5517935638627,0.973187014457149,1.41661430734551,10.9532239818662,0.00418347938081566,0.0240130927007546
"oases2_k49_Locus_1496_Transcript_3_1",0.363067177707959,-1.19062421068328,7.72362003383058,10.9529182674381,0.00418411890469556,0.0240130927007546
"oases6_CL19Contig1_2",1.80099053819703,2.48874414427026,-0.296224949670911,10.9526358067459,0.00418470987098671,0.0240130927007546
"oases3_k25_Locus_5715_Transcript_10_1",-2.25093848643111,-0.188214834789056,3.14661073820321,10.9526122139926,0.00418475923569172,0.0240130927007546
"oases3_k37_Locus_15029_Transcript_3_1",-0.116251818847933,-1.26623965060609,4.82654532483667,10.9519952178833,0.00418605042492951,0.0240167439351439
"oases6_k49_Locus_7694_Transcript_3_2",-0.449620286947645,1.01431416394198,3.55520961043608,10.9510106229504,0.00418811171429023,0.0240237331979252
"oases6_CL502Contig1_1",-0.347546385104684,1.32977217541894,2.61319859472326,10.950787585708,0.00418857879277762,0.0240237331979252
"oases3_k49_Locus_2231_Transcript_4_1",-1.95240501125019,-2.22643092370757,1.25135847540392,10.9491349885481,0.00419204123979655,0.0240398324295636
"oases3_CL6544Contig1_1",-1.83201255479951,1.0081827913364,2.84959375043443,10.9460488014063,0.00419851494516462,0.0240731923990028
"oases3_k31_Locus_13037_Transcript_3_1",0.113725327092914,-4.72322016447497,2.61672390309136,10.9436092123357,0.00420363939550411,0.0240988068706147
"oases3_k49_Locus_45296_Transcript_2_1",-7.27845259989362,-1.24379446218501,0.514578571848629,10.9424837850378,0.00420600550642626,0.0241086026785199
"oases6_CL4581Contig1_1",2.1540692250734,0.0585345947022382,2.22601064200358,10.9415998701132,0.00420786479277863,0.0241154907869309
"oases6_CL3985Contig1_1",-1.92451987920082,1.0763337522022,2.02807155345723,10.9399369948875,0.00421136482466467,0.0241281932348125
"oases6_k31_Locus_37898_Transcript_2_1",-0.440209494371116,1.97317084118198,2.70822838462504,10.9399216795459,0.00421139707403361,0.0241281932348125
"oases6_k31_Locus_52168_Transcript_1_1",-1.68236617740846,-1.44328627524333,0.339038065583349,10.9382759033543,0.00421486400880658,0.0241442842541336
"oases6_k37_Locus_37048_Transcript_6_1",3.81485274638857,0.000933608759476404,4.4483676694673,10.9367681542255,0.00421804268558637,0.0241587192579274
"oases3_k25_Locus_15942_Transcript_1_1",0.829495018365882,-2.10367189222808,0.517136152149621,10.935874072759,0.0042199287440225,0.0241657474749433
"oases3_k43_Locus_401_Transcript_20_2",-2.80423301352503,-1.15199357775321,2.02101153204206,10.9349288873229,0.00422192352293941,0.0241733959963711
"oases6_k25_Locus_2295_Transcript_4_1",-1.14079270226898,0.8062165739358,2.36160078897981,10.9339070298081,0.00422408117623548,0.0241819745513712
"oases3_CL757Contig1_3",1.49414843051783,-2.31604348533093,-0.103879766386517,10.9325690098426,0.00422690807421644,0.0241943811153019
"oases3_k43_Locus_4633_Transcript_10_1",-1.16240773197544,1.39898563035808,3.77918902474855,10.9289476824684,0.00423456851632429,0.0242344461921287
"oases6_k25_Locus_2917_Transcript_11_1",0.292256518052923,1.86532088095805,4.78133823784589,10.928480456414,0.00423555788225418,0.0242363261376045
"oases2_CL10370Contig1_1",3.84387147977444,-0.699798895665262,2.26508510076424,10.9278238894908,0.00423694857411568,0.0242405015691957
"oases3_k31_Locus_24383_Transcript_1_1",-2.34095313605268,0.266448298313667,3.82456656599021,10.9268592901141,0.00423899254595636,0.0242484126716359
"oases6_k31_Locus_45345_Transcript_1_1",2.49355511761831,1.71906346905662,3.85356776198641,10.9235593858252,0.0042459924539666,0.0242846664479596
"oases6_k49_Locus_6480_Transcript_5_1",0.472104568459791,2.31342713756247,0.743799202486713,10.9185339438501,0.00425667486365559,0.0243419674528055
"oases6_k43_Locus_20504_Transcript_11_1",-2.25340315690318,0.256522160612134,2.29401147718567,10.9153198619255,0.00426352101407334,0.024376396893509
"oases3_k37_Locus_5942_Transcript_1_1",1.56289770204132,-0.195651165633294,4.22198051997221,10.9150834934049,0.00426402492492733,0.024376396893509
"oases6_k37_Locus_2725_Transcript_10_1",-0.0598523884964139,2.29716059440366,1.86155911664667,10.9127954563856,0.00426890583976322,0.0244004962377862
"oases3_k49_Locus_20903_Transcript_3_1",-3.19986347382942,-1.70168499305225,0.772205179781188,10.909544353066,0.0042758508099111,0.0244363840972214
"oases3_CL902Contig1_1",-2.02352394518791,-1.49475312163921,4.64796520765855,10.9090271903369,0.00427695660821141,0.0244388952466402
"oases2_k25_Locus_20928_Transcript_1_1",1.54952865602546,-3.50342190362945,0.381064392368612,10.9081065137316,0.00427892590839429,0.0244463389684598
"oases6_k49_Locus_8031_Transcript_1_1",-5.83564050446918,0.443500439404903,1.66327141784721,10.904195996173,0.00428730050042185,0.0244898330159074
"TRINITY_DN33732_c0_g1_i2",-2.24851197287587,-2.97262391033775,0.910474070649397,10.9039282943422,0.00428787439792603,0.0244898330159074
"oases3_k25_Locus_6050_Transcript_14_3",-0.394049646064557,-2.2586811812651,0.813831144977548,10.9032588074292,0.00428930997608479,0.0244916101236749
"oases6_k37_Locus_6000_Transcript_3_2",0.160457740578323,1.15107496137614,7.24886287276043,10.9031603104323,0.00428952122336226,0.0244916101236749
"TRINITY_DN25735_c0_g1_i1",-3.46231601522813,0.438618722530077,1.94140882521245,10.895770146815,0.0043054006750714,0.024578449401758
"oases3_k43_Locus_32619_Transcript_5_1",2.00717848859873,-2.80714840131135,3.14766044788599,10.894588640672,0.00430794485516138,0.0245891457857328
"oases6_k43_Locus_14026_Transcript_7_1",-1.78920990610143,-2.10085533094704,5.36204447698005,10.8928958847135,0.00431159254826842,0.0246061365581462
"oases6_k25_Locus_24348_Transcript_4_1",-0.612956509665932,1.20080829136112,3.33365950053982,10.8887023403476,0.00432064246007375,0.0246539475553578
"oases3_k37_Locus_2704_Transcript_9_1",-0.322380782484674,-3.99316506393515,1.92624602953989,10.8874945830904,0.00432325239167903,0.024665002327325
"oases6_k49_Locus_52272_Transcript_1_1",4.39178600892496,7.61769863754007,1.67284847700433,10.8871011164899,0.0043241030030588,0.0246660179547636
"oases6_k49_Locus_3837_Transcript_57_1",-0.711806108915789,1.11755021788039,2.41226574288569,10.8849657326821,0.00432872227836952,0.0246842336445244
"oases6_k43_Locus_15859_Transcript_2_1",-0.456390152251226,1.42577903915917,6.22224647335658,10.884894309162,0.00432887686742116,0.0246842336445244
"oases3_k49_Locus_15863_Transcript_2_1",0.540445111057267,-3.62677632151102,0.800761179526393,10.8843737639795,0.00433000370205625,0.0246842336445244
"oases6_CL14813Contig1_1",-3.44002766854074,-2.32817272719102,4.81580975399292,10.8842843014295,0.00433019739297468,0.0246842336445244
"oases3_CL17613Contig1_1",-1.88920973913359,-0.0785280519795702,2.92380876016697,10.8840698276175,0.00433066177484444,0.0246842336445244
"oases3_k49_Locus_1512_Transcript_14_2",-1.2510947932079,-4.33436948401805,1.74991445542342,10.8791455363246,0.00434133763224435,0.0247412393142653
"oases3_k31_Locus_51023_Transcript_1_1",-1.14356732263482,-1.59882176329145,-0.0435342578112962,10.8710742834656,0.00435889304885791,0.0248374277160917
