"Gene" "Flower" "Leaf" "Stem"
"TRINITY_DN74509_c1_g2_i11" 0 0 0
"TRINITY_DN74513_c0_g1_i1" 0 0 0
"TRINITY_DN74513_c0_g1_i2" 0 0 0
"TRINITY_DN74513_c0_g1_i3" 0 0 0
"TRINITY_DN74513_c0_g1_i4" 0 0 0
"TRINITY_DN74513_c0_g1_i5" 0 0 0
"TRINITY_DN74513_c0_g1_i8" 0 0 0
"TRINITY_DN74594_c0_g1_i1" 0 0 0
"TRINITY_DN74594_c0_g2_i2" 0 1 0
"TRINITY_DN74594_c0_g2_i5" 0 0 0
"TRINITY_DN74594_c0_g3_i1" 0 0 0
"TRINITY_DN74594_c0_g2_i7" 0 0 0
"TRINITY_DN74562_c0_g1_i1" 0 0 0
"TRINITY_DN74562_c0_g1_i3" 0 1 0
"TRINITY_DN74562_c1_g3_i8" 0 0 0
"TRINITY_DN74562_c1_g3_i9" 0 0 0
"TRINITY_DN74554_c4_g1_i1" 0 0 0
"TRINITY_DN74554_c5_g1_i9" 0 0 0
"TRINITY_DN74522_c1_g1_i5" 0 0 0
"TRINITY_DN74522_c1_g2_i4" 0 0 0
"TRINITY_DN74538_c0_g1_i2" 0 0 0
"TRINITY_DN74538_c0_g1_i3" 0 0 0
"TRINITY_DN74538_c0_g2_i1" 0 0 0
"TRINITY_DN74538_c0_g2_i2" 0 0 0
"TRINITY_DN74538_c0_g1_i6" 0 0 0
"TRINITY_DN74538_c0_g1_i8" 0 0 0
"TRINITY_DN74538_c0_g1_i9" 0 0 0
"TRINITY_DN74589_c1_g2_i2" 0 0 0
"TRINITY_DN74589_c1_g1_i2" 0 0 0
"TRINITY_DN74589_c1_g2_i4" 0 0 0
"TRINITY_DN74589_c1_g3_i4" 0 0 0
"TRINITY_DN74589_c1_g1_i4" 0 0 0
"TRINITY_DN74589_c1_g2_i8" 0 0 0
"TRINITY_DN74603_c0_g1_i1" 0 0 0
"TRINITY_DN74603_c1_g1_i4" 0 0 0
"TRINITY_DN74603_c1_g1_i5" 0 0 0
"TRINITY_DN74603_c1_g1_i6" 0 0 0
"TRINITY_DN74603_c1_g1_i13" 0 0 0
"TRINITY_DN74593_c0_g1_i1" 0 0 0
"TRINITY_DN74593_c0_g1_i8" 0 0 0
"TRINITY_DN74593_c0_g1_i9" 0 0 0
"TRINITY_DN74593_c0_g1_i11" 0 0 0
"TRINITY_DN74593_c0_g1_i14" 0 0 0
"TRINITY_DN74593_c0_g1_i15" 0 0 0
"TRINITY_DN74593_c0_g1_i17" 0 0 0
"TRINITY_DN74593_c0_g1_i18" 0 0 0
"TRINITY_DN74593_c0_g1_i21" 0 0 0
"TRINITY_DN74514_c0_g1_i1" 0 0 0
"TRINITY_DN74514_c0_g1_i3" 0 0 0
"TRINITY_DN74514_c0_g1_i11" 0 0 0
