Gene Flower Leaf Stem
TRINITY_DN63629_c0_g1_i1 1 0 0
TRINITY_DN63601_c0_g1_i1 0 0 0
TRINITY_DN63699_c0_g1_i1 0 -1 0
TRINITY_DN63678_c0_g1_i1 0 0 0
TRINITY_DN63687_c0_g1_i1 0 0 0
TRINITY_DN63645_c0_g1_i1 0 -1 0
TRINITY_DN63664_c0_g1_i1 0 0 0
TRINITY_DN63625_c0_g1_i1 0 0 0
TRINITY_DN63656_c0_g1_i1 0 0 0
TRINITY_DN63681_c0_g1_i1 0 0 0
TRINITY_DN63660_c0_g1_i1 0 0 1
TRINITY_DN63617_c0_g1_i1 0 -1 0
TRINITY_DN63647_c0_g1_i1 0 0 0
TRINITY_DN39921_c0_g1_i1 0 0 0
TRINITY_DN39907_c0_g1_i1 0 0 0
TRINITY_DN39901_c0_g1_i1 0 0 0
TRINITY_DN39975_c0_g1_i1 0 0 0
TRINITY_DN39998_c0_g1_i1 1 0 0
TRINITY_DN39993_c0_g1_i1 0 0 0
TRINITY_DN39985_c0_g1_i1 0 1 0
TRINITY_DN39935_c0_g1_i1 0 0 0
TRINITY_DN39942_c0_g1_i1 1 0 0
TRINITY_DN39970_c0_g1_i1 1 0 0
TRINITY_DN39914_c0_g1_i1 0 0 0
TRINITY_DN39987_c0_g1_i1 0 0 0
TRINITY_DN39932_c0_g1_i1 0 0 0
TRINITY_DN39992_c0_g2_i2 0 0 0
TRINITY_DN39945_c0_g1_i1 0 -1 0
TRINITY_DN39948_c0_g1_i1 0 0 0
TRINITY_DN39918_c0_g1_i1 0 0 0
TRINITY_DN39995_c0_g1_i1 0 -1 0
TRINITY_DN39994_c0_g1_i1 0 0 0
TRINITY_DN39927_c0_g1_i1 0 0 0
TRINITY_DN39974_c0_g1_i1 0 0 0
TRINITY_DN39928_c0_g1_i1 0 0 0
TRINITY_DN44034_c0_g1_i1 0 -1 0
TRINITY_DN44048_c0_g1_i1 1 0 0
TRINITY_DN44008_c0_g1_i1 1 0 0
TRINITY_DN44005_c0_g1_i1 0 0 0
TRINITY_DN44036_c0_g1_i1 0 0 0
TRINITY_DN44001_c0_g1_i1 1 0 0
